sucursal,fecha,operativas_count,seguridad_count
Lienzo Charro,2025-12-10,1,1
Eulalio Gutierrez,2025-12-09,1,1
Luis Echeverria,2025-12-09,1,1
Ramos Arizpe,2025-12-08,1,1
Venustiano Carranza,2025-12-08,1,1
Sabinas Hidalgo,2025-12-05,1,1
Santiago,2025-12-04,1,1
Stiva,2025-12-03,1,1
Apodaca Centro,2025-12-03,1,1
Barragan,2025-12-02,1,1
Escobedo,2025-12-02,1,1
Plaza 1500,2025-12-01,1,1
Vasconcelos,2025-12-01,1,1
Anahuac,2025-11-28,1,1
Concordia,2025-11-28,1,1
Pino Suarez,2025-11-27,1,1
Felix U. Gomez,2025-11-27,1,1
Satelite,2025-11-26,1,1
Lazaro Cardenas,2025-11-26,1,1
Madero,2025-11-25,1,1
