location_key,tipo_regla,ops_actuales,seg_actuales,total_actual,ops_esperadas,seg_esperadas,total_esperado,diferencia,estado
1 - Pino Suarez,ESPECIAL_3_3,3,3,6,3,3,6,0,✅ PERFECTO
2 - Madero,ESPECIAL_3_3,3,3,6,3,3,6,0,✅ PERFECTO
3 - Matamoros,ESPECIAL_3_3,3,3,6,3,3,6,0,✅ PERFECTO
4 - Santa Catarina,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
5 - Felix U. Gomez,ESPECIAL_3_3,3,3,6,3,3,6,0,✅ PERFECTO
6 - Garcia,LOCAL_4_4,3,4,7,4,4,8,-1,❌ DEFICIT (-1)
7 - La Huasteca,LOCAL_4_4,3,4,7,4,4,8,-1,❌ DEFICIT (-1)
8 - Gonzalitos,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
9 - Anahuac,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
10 - Barragan,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
11 - Lincoln,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
12 - Concordia,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
13 - Escobedo,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
14 - Aztlan,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
15 - Ruiz Cortinez,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
16 - Solidaridad,FORANEA_2_2,4,4,8,2,2,4,4,⚠️ EXCESO (+4)
17 - Romulo Garza,FORANEA_2_2,4,4,8,2,2,4,4,⚠️ EXCESO (+4)
18 - Linda Vista,FORANEA_2_2,4,3,7,2,2,4,3,⚠️ EXCESO (+3)
19 - Valle Soleado,FORANEA_2_2,4,4,8,2,2,4,4,⚠️ EXCESO (+4)
20 - Tecnológico,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
21 - Chapultepec,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
22 - Satelite,LOCAL_4_4,4,4,8,4,4,8,0,✅ PERFECTO
23 - Guasave,LOCAL_4_4,2,2,4,4,4,8,-4,❌ DEFICIT (-4)
24 - Exposicion,FORANEA_2_2,4,4,8,2,2,4,4,⚠️ EXCESO (+4)
25 - Juarez,FORANEA_2_2,4,4,8,2,2,4,4,⚠️ EXCESO (+4)
26 - Cadereyta,FORANEA_2_2,4,4,8,2,2,4,4,⚠️ EXCESO (+4)
27 - Santiago,FORANEA_2_2,4,4,8,2,2,4,4,⚠️ EXCESO (+4)
28 - Guerrero,FORANEA_2_2,2,2,4,2,2,4,0,✅ PERFECTO
29 - Pablo Livas,FORANEA_2_2,4,5,9,2,2,4,5,⚠️ EXCESO (+5)
30 - Carrizo,FORANEA_2_2,2,2,4,2,2,4,0,✅ PERFECTO
