location_asignado,operativas,seguridad,total
1 - Pino Suarez,3,3,6
10 - Barragan,4,4,8
11 - Lincoln,4,4,8
12 - Concordia,4,4,8
13 - Escobedo,4,4,8
14 - Aztlan,4,4,8
15 - Ruiz Cortinez,4,4,8
16 - Solidaridad,4,4,8
17 - Romulo Garza,4,4,8
18 - Linda Vista,4,4,8
19 - Valle Soleado,4,4,8
2 - Madero,3,3,6
20 - Tecnológico,4,4,8
21 - Chapultepec,4,4,8
22 - Satelite,4,4,8
23 - Guasave,2,2,4
24 - Exposicion,4,4,8
25 - Juarez,4,4,8
26 - Cadereyta,4,4,8
27 - Santiago,4,4,8
28 - Guerrero,2,2,4
29 - Pablo Livas,4,4,8
3 - Matamoros,3,3,6
30 - Carrizo,2,2,4
31 - Las Quintas,4,4,8
32 - Allende,4,4,8
33 - Eloy Cavazos,4,4,8
34 - Montemorelos,4,4,8
36 - Apodaca Centro,4,4,8
37 - Stiva,4,4,8
38 - Gomez Morin,3,3,6
39 - Lazaro Cardenas,4,4,8
4 - Santa Catarina,4,4,8
40 - Plaza 1500,4,4,8
41 - Vasconcelos,4,4,8
42 - Independencia,2,2,4
43 - Revolucion,2,2,4
44 - Senderos,2,2,4
45 - Triana,2,2,4
46 - Campestre,2,2,4
47 - San Antonio,2,2,4
48 - Refugio,2,2,4
49 - Pueblito,2,2,4
5 - Felix U. Gomez,3,3,6
50 - Patio,2,2,4
51 - Constituyentes,2,2,4
52 - Venustiano Carranza,3,3,6
53 - Lienzo Charro,2,2,4
54 - Ramos Arizpe,3,3,6
55 - Eulalio Gutierrez,3,3,6
56 - Luis Echeverria,4,4,8
57 - Harold R. Pape,2,2,4
58 - Universidad (Tampico),2,2,4
59 - Plaza 3601,2,2,4
6 - Garcia,4,4,8
60 - Centro (Tampico),2,2,4
61 - Aeropuerto (Tampico),2,2,4
62 - Lazaro Cardenas (Morelia),2,2,4
63 - Madero (Morelia),2,2,4
64 - Huerta,2,2,4
65 - Pedro Cardenas,2,2,4
66 - Lauro Villar,2,2,4
67 - Centro (Matamoros),2,2,4
68 - Avenida del Niño,1,1,2
69 - Puerto Rico,2,2,4
7 - La Huasteca,4,4,8
70 - Coahuila Comidas,2,2,4
71 - Centrito Valle,5,5,10
72 - Sabinas Hidalgo,4,4,8
73 - Anzalduas,2,2,4
74 - Hidalgo (Reynosa),2,2,4
75 - Libramiento (Reynosa),2,2,4
76 - Aeropuerto (Reynosa),2,2,4
77 - Boulevard Morelos,2,2,4
78 - Alcala,2,2,4
79 - Rio Bravo,2,2,4
8 - Gonzalitos,4,4,8
80 - Guerrero 2 (Ruelas),2,2,4
81 - Reforma (Ruelas),2,2,4
9 - Anahuac,4,4,8
