numero,nombre,grupo,tipo,lat,lon
1,Pino Suarez,TEPEYAC,LOCAL,25.6722541,-100.3199394
2,Madero,TEPEYAC,LOCAL,25.6849795,-100.3204831
3,Matamoros,TEPEYAC,LOCAL,25.6697859,-100.3151163
4,Santa Catarina,TEPEYAC,LOCAL,25.6750664,-100.4439225
5,Felix U. Gomez,TEPEYAC,LOCAL,25.6820826,-100.2995173
6,Garcia,TEPEYAC,LOCAL,25.794377,-100.583317
7,La Huasteca,TEPEYAC,LOCAL,25.6616794,-100.4381282
8,Gonzalitos,OGAS,LOCAL,25.6963987,-100.3516156
9,Anahuac,OGAS,LOCAL,25.7443039,-100.3006696
10,Barragan,OGAS,LOCAL,25.763873,-100.3052723
11,Lincoln,OGAS,LOCAL,25.7618024,-100.4060882
12,Concordia,OGAS,LOCAL,25.7854018,-100.2482303
13,Escobedo,OGAS,LOCAL,25.7928458,-100.3299884
14,Aztlan,OGAS,LOCAL,25.7269275,-100.3436258
15,Ruiz Cortinez,OGAS,LOCAL,25.7330158,-100.3754135
16,Solidaridad,EPL SO,LOCAL,25.7815666,-100.3865248
17,Romulo Garza,EFM,LOCAL,25.7176624,-100.2460914
18,Linda Vista,EFM,LOCAL,25.6875477,-100.2607656
19,Valle Soleado,EFM,LOCAL,25.705159,-100.1627585
20,Tecnológico,TEC,LOCAL,25.6469144,-100.2898745
21,Chapultepec,TEC,LOCAL,25.6665906,-100.268701
22,Satelite,TEC,LOCAL,25.6082097,-100.2702349
23,Guasave,TEC,FORANEA,25.5613962,-108.463337
24,Exposicion,EXPO,LOCAL,25.6790149,-100.243663
25,Juarez,EXPO,LOCAL,25.6518436,-100.1128062
26,Cadereyta,EXPO,LOCAL,25.592725,-100.0016189
27,Santiago,EXPO,LOCAL,25.42416,-100.14792
28,Guerrero,EXPO,FORANEA,27.493964,-99.5073645
29,Pablo Livas,EXPO,LOCAL,25.6575413,-100.1866706
30,Carrizo,EXPO,FORANEA,27.4975404,-99.5509711
31,Las Quintas,EXPO,LOCAL,25.6907136,-100.2125013
32,Allende,EXPO,LOCAL,25.2738086,-100.0175254
33,Eloy Cavazos,EXPO,LOCAL,25.6541672,-100.2098636
34,Montemorelos,EXPO,LOCAL,25.1892233,-99.842423
35,Apodaca,PLOG NUEVO LEON,LOCAL,25.7522909,-100.198737
36,Apodaca Centro,PLOG NUEVO LEON,LOCAL,25.7774228,-100.1862806
37,Stiva,PLOG NUEVO LEON,LOCAL,25.7883679,-100.1445498
38,Gomez Morin,PLOG NUEVO LEON,LOCAL,25.6589046,-100.3564118
39,Lazaro Cardenas,PLOG NUEVO LEON,LOCAL,25.6294433,-100.2990714
40,Plaza 1500,PLOG NUEVO LEON,LOCAL,25.7226185,-100.2004331
41,Vasconcelos,PLOG NUEVO LEON,LOCAL,25.6625206,-100.4042282
42,Independencia,PLOG LAGUNA,FORANEA,25.5463596,-103.4512412
43,Revolucion,PLOG LAGUNA,FORANEA,25.5348985,-103.3996871
44,Senderos,PLOG LAGUNA,FORANEA,25.6032981,-103.4003048
45,Triana,PLOG LAGUNA,FORANEA,25.5134939,-103.3942347
46,Campestre,PLOG LAGUNA,FORANEA,25.5546658,-103.5010797
47,San Antonio,PLOG LAGUNA,FORANEA,25.5932738,-103.4839652
48,Refugio,PLOG QUERETARO,FORANEA,20.6492965,-100.3442314
49,Pueblito,PLOG QUERETARO,FORANEA,20.5387256,-100.4330213
50,Patio,PLOG QUERETARO,FORANEA,20.6187805,-100.438969
51,Constituyentes,PLOG QUERETARO,FORANEA,20.5797652,-100.3997043
52,Venustiano Carranza,GRUPO SALTILLO,LOCAL,25.4558046,-100.9848582
53,Lienzo Charro,GRUPO SALTILLO,LOCAL,25.4550873,-101.0085495
54,Ramos Arizpe,GRUPO SALTILLO,LOCAL,25.534275,-100.9494212
55,Eulalio Gutierrez,GRUPO SALTILLO,LOCAL,25.4462291,-100.9583993
56,Luis Echeverria,GRUPO SALTILLO,LOCAL,25.3958713,-101.0060254
57,Harold R. Pape,GRUPO SALTILLO,FORANEA,26.9240107,-101.4209376
58,Universidad (Tampico),OCHTER TAMPICO,FORANEA,22.2701913,-97.8586294
59,Plaza 3601,OCHTER TAMPICO,FORANEA,22.2501997,-97.8748437
60,Centro (Tampico),OCHTER TAMPICO,FORANEA,22.2152708,-97.8573728
61,Aeropuerto (Tampico),OCHTER TAMPICO,FORANEA,22.2985244,-97.8783331
62,Lazaro Cardenas (Morelia),GRUPO CANTERA ROSA (MORELIA),FORANEA,19.6955898,-101.1661908
63,Madero (Morelia),GRUPO CANTERA ROSA (MORELIA),FORANEA,19.7025286,-101.201663
64,Huerta,GRUPO CANTERA ROSA (MORELIA),FORANEA,19.6751407,-101.2152936
65,Pedro Cardenas,GRUPO MATAMOROS,FORANEA,25.8469218,-97.5072646
66,Lauro Villar,GRUPO MATAMOROS,FORANEA,25.863775,-97.480015
67,Centro (Matamoros),GRUPO MATAMOROS,FORANEA,25.8807292,-97.5037509
68,Avenida del Niño,GRUPO MATAMOROS,FORANEA,25.8356287,-97.497976
69,Puerto Rico,GRUPO MATAMOROS,FORANEA,25.8521626,-97.527739
70,Coahuila Comidas,GRUPO PIEDRAS NEGRAS,FORANEA,28.7003352,-100.5232929
71,Centrito Valle,GRUPO CENTRITO,LOCAL,25.6578596,-100.3652579
72,Sabinas Hidalgo,GRUPO SABINAS HIDALGO,LOCAL,26.5093471,-100.1748201
73,Anzalduas,CRR,FORANEA,26.0873129,-98.2850236
74,Hidalgo (Reynosa),CRR,FORANEA,26.0683933,-98.3368244
75,Libramiento (Reynosa),CRR,FORANEA,26.0454236,-98.3146569
76,Aeropuerto (Reynosa),RAP,FORANEA,26.0205663,-98.2279797
77,Boulevard Morelos,RAP,FORANEA,26.0660545,-98.2930032
78,Alcala,RAP,FORANEA,26.0082508,-98.2761346
79,Rio Bravo,GRUPO RIO BRAVO,FORANEA,25.9845576,-98.0904333
80,Guerrero 2 (Ruelas),GRUPO NUEVO LAREDO (RUELAS),FORANEA,27.4770192,-99.5078585
81,Reforma (Ruelas),GRUPO NUEVO LAREDO (RUELAS),FORANEA,27.4452531,-99.5208093
82,Aeropuerto Nuevo Laredo,EXPO,FORANEA,27.5143266,-99.5626594
83,Cerradas de Anahuac,OGAS,LOCAL,25.7857321,-100.2800438
84,Aeropuerto del Norte,EPL SO,FORANEA,25.8724538,-100.229576
85,Diego Diaz,OGAS,LOCAL,25.7423904,-100.2636823
86,Miguel de la Madrid,PLOG NUEVO LEON,LOCAL,25.6941522,-100.1744933
