numero,sucursal,tipo_actual,grupo,ops_count,seg_count,total_supervisiones,fechas_coincidentes,perfectamente_emparejado,necesita_validacion
1,1 - Pino Suarez,LOCAL,TEPEYAC,3,3,6,3,SÍ,SÍ
2,2 - Madero,LOCAL,TEPEYAC,3,3,6,3,SÍ,SÍ
3,3 - Matamoros,LOCAL,TEPEYAC,3,3,6,3,SÍ,SÍ
4,4 - Santa Catarina,LOCAL,TEPEYAC,4,4,8,4,SÍ,NO
5,5 - Felix U. Gomez,LOCAL,TEPEYAC,3,3,6,3,SÍ,SÍ
6,6 - Garcia,LOCAL,TEPEYAC,4,4,8,4,SÍ,NO
7,7 - La Huasteca,LOCAL,TEPEYAC,4,4,8,4,SÍ,NO
8,8 - Gonzalitos,LOCAL,OGAS,4,4,8,4,SÍ,NO
9,9 - Anahuac,LOCAL,OGAS,4,4,8,4,SÍ,NO
10,10 - Barragan,LOCAL,OGAS,4,4,8,4,SÍ,NO
11,11 - Lincoln,LOCAL,OGAS,4,4,8,4,SÍ,NO
12,12 - Concordia,LOCAL,OGAS,4,4,8,4,SÍ,NO
13,13 - Escobedo,LOCAL,OGAS,4,4,8,4,SÍ,NO
14,14 - Aztlan,LOCAL,OGAS,4,4,8,4,SÍ,NO
15,15 - Ruiz Cortinez,LOCAL,OGAS,4,4,8,4,SÍ,NO
16,16 - Solidaridad,FORANEA,EPL SO,4,4,8,4,SÍ,NO
17,17 - Romulo Garza,FORANEA,EFM,4,4,8,4,SÍ,NO
18,18 - Linda Vista,FORANEA,EFM,4,4,8,4,SÍ,NO
19,19 - Valle Soleado,FORANEA,EFM,4,4,8,4,SÍ,NO
20,20 - Tecnológico,LOCAL,TEC,4,4,8,4,SÍ,NO
21,21 - Chapultepec,LOCAL,TEC,4,4,8,4,SÍ,NO
22,22 - Satelite,LOCAL,TEC,4,4,8,4,SÍ,NO
23,23 - Guasave,LOCAL,TEC,2,2,4,2,SÍ,SÍ
24,24 - Exposicion,FORANEA,EXPO,4,4,8,4,SÍ,NO
25,25 - Juarez,FORANEA,EXPO,4,4,8,4,SÍ,NO
26,26 - Cadereyta,FORANEA,EXPO,4,4,8,4,SÍ,NO
27,27 - Santiago,FORANEA,EXPO,4,4,8,4,SÍ,NO
28,28 - Guerrero,FORANEA,EXPO,2,2,4,2,SÍ,SÍ
29,29 - Pablo Livas,FORANEA,EXPO,4,4,8,4,SÍ,NO
30,30 - Carrizo,FORANEA,EXPO,2,2,4,2,SÍ,SÍ
31,31 - Las Quintas,FORANEA,EXPO,4,4,8,4,SÍ,NO
32,32 - Allende,FORANEA,EXPO,4,4,8,4,SÍ,NO
33,33 - Eloy Cavazos,FORANEA,EXPO,4,4,8,4,SÍ,NO
34,34 - Montemorelos,FORANEA,EXPO,4,4,8,4,SÍ,NO
36,36 - Apodaca Centro,LOCAL,PLOG NUEVO LEON,4,4,8,4,SÍ,NO
37,37 - Stiva,LOCAL,PLOG NUEVO LEON,4,4,8,4,SÍ,NO
38,38 - Gomez Morin,LOCAL,PLOG NUEVO LEON,3,3,6,3,SÍ,SÍ
