Numero,Nombre_Zenput,Ciudad,Estado,Direccion,Lat,Lon,Tags,Campos_Adicionales
1,1 - Pino Suarez,Monterrey,NL,"Av. Pino Suarez
#500 sur Col. Centro",,,All Locations; EPL CAS; Tepeyac,region:; time_zone:America/Monterrey
10,10 - Barragan,San Nicolas de los Garza,NL,Av. Manuel I. Barragán #1401,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
11,11 - Lincoln,Monterrey,NL,Av. Paseo de Cumbres #1001-C,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
12,12 - Concordia,Apodaca,NL,Av. Concordia # 300 Apodaca,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
13,13 - Escobedo,Escobedo,NL,Av. Raúl Salinas #555 Escobedo,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
14,14 - Aztlan,Monterrey,NL,Av. Solidaridad #5151 Monterrey,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
15,15 - Ruiz Cortinez,Monterrey,NL,"Av. Ruiz Cortínez #5600 Col. Valle de Infonavit,",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
16,16 - Solidaridad,Monterrey,NL,"Av. Luis Donaldo Colosio #2200 A, Col. Barrio Acero,",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
17,17 - Romulo Garza,San Nicolas de los Garza,NL,"Calle de los Pinos #990, Col. Hacienda los Morales 2do sector",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
18,18 - Linda Vista,Guadalupe,NL,Av. Miguel Alemán #210 A Col. 10 de mayo,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
19,19 - Valle Soleado,Guadalupe,NL,"Carretera Dulces Nombres #400 C, Col. Valle Soleado",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
2,2 - Madero,Monterrey,NL,Av. Francisco I. Madero #843 pte. Col. Centro,,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
20,20 - Tecnológico,Monterrey,NL,Calle Ave. Eugenio Garza Sada # 2788 Col. Alta Vista Sur,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
21,21 - Chapultepec,Guadalupe,NL,"Av. Chapultepec #180, Int. PB-01-E Col. Paraíso",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
22,22 - Satelite,Monterrey,NL,Av. Eugenio Garza Sada #6044 Col. Mederos,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
23,23 - Guasave,Guasave,SI,"Av. Vicente Guerrero #517, Col. Centro",,,All Locations; EPL CAS,region:None; time_zone:America/Mazatlan
24,24 - Exposicion,Guadalupe,NL,"Av. Benito Juárez #1210, Col. La Hacienda",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
25,25 - Juarez,Benito Juarez,NL,"Carretera a Reynosa #1000, Col. Centro,",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
26,26 - Cadereyta,Cadereyta,NL,Zaragoza #102 Col. Centro,,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
27,27 - Santiago,Santiago,NL,"Carretera Nacional #209, Col. Centro,",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
28,28 - Guerrero,Nuevo Laredo,TM,"Guerrero #619, Col. Centro",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
29,29 - Pablo Livas,Guadalupe,NL,"Av. Pablo Livas #7601, Col. Rincón de Guadalupe",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
3,3 - Matamoros,Monterrey,NL,"Juárez #701, Col. Centro, Monterrey",,,All Locations; EPL CAS,region:; time_zone:America/Monterrey
30,30 - Carrizo,Nuevo Laredo,TM,"Belden #7412, Col. Buena Vista",,,All Locations; EPL CAS,region:None; time_zone:America/Matamoros
31,31 - Las Quintas,Guadalupe,NL,"Av. López Mateos #301, Col. Residencial las quintas",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
32,32 - Allende,Allende,NL,"Carretera Nacional #702, Col. Hacienda San Javier",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
33,33 - Eloy Cavazos,Guadalupe,NL,"Av. Eloy Cavazos #5100, Col. San Eduardo",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
34,34 - Montemorelos,Montemorelos,NL,"Av. Capitán Alonso de León #1203, Col. Zaragoza",,,All Locations; EPL CAS,region:None; time_zone:America/Monterrey
35,35 - Apodaca,Apodaca,NL,Miguel Alemán #549 Col. El Milagro,,,All Locations,region:None; time_zone:America/Monterrey
36,36 - Apodaca Centro,Apodaca,NL,"Gral. Ignacio Zaragoza 510, Cabecera Municipal, Apodaca Centro",,,All Locations,region:None; time_zone:America/Monterrey
37,37 - Stiva,Apodaca,NL,BLVD. Rogelio González Caballero no.100 Local 9,,,All Locations,region:None; time_zone:America/Monterrey
38,38 - Gomez Morin,San Pedro Garza García,NL,Missouri #458-A ote.,,,All Locations,region:None; time_zone:America/Monterrey
39,39 - Lazaro Cardenas,Monterrey,NL,"Lázaro Cárdenas #2810 G, esq. Camino al Mirador, Col. Mirador",,,All Locations,region:None; time_zone:America/Monterrey
4,4 - Santa Catarina,Santa Catarina,NL,"Av. Manuel Ordoñez #700-R, Col. Centro",,,All Locations; Hornos; Comedor; Baños Clientes; Baños Empleados; Dispensador Refrescos; Cuarto Frio 2; AutoLoco; EPL CAS,region:; time_zone:America/Monterrey
40,40 - Plaza 1500,Escobedo,NL,"Av. Acapulco #800, Col. Josefa Sozaya",,,All Locations,region:None; time_zone:America/Monterrey
41,41 - Vasconcelos,San Pedro Garza García,NL,"Los Aldama #123, Casco Urbano",,,All Locations,region:None; time_zone:America/Monterrey
42,42 - Independencia,Torreon,CO,Javier Mina #585 Nte. Col. Centro,,,All Locations,region:None; time_zone:America/Monterrey
43,43 - Revolucion,Torreon,CO,Blvd. Torreón- Matamoros #4630 Col. Ex Hacienda los Ángeles,,,All Locations,region:None; time_zone:America/Monterrey
44,44 - Senderos,Torreon,CO,Carretera Torreón-San Pedro #2010 Km 3.3. Col. La Unión,,,All Locations,region:None; time_zone:America/Monterrey
